Landcode;Levensnummer;Werknummer;Geboortedatum;Haarkleur;Geslacht;Landcode_moeder;Levensnummer_moeder;Aanvoer;Afvoer;UBN
NL;946344798;4479;23-12-2023;Zwartbont;M;NL;889551008;11-04-2024;;6259491
BE;918104481;4481;12-02-2024;Zwart-wit;M;BE;513662910;08-05-2024;;6259491
NL;689144862;4486;15-05-2024;Zwartbont;V;NL;724536940;09-08-2024;;6259491
NL;645044939;4493;09-02-2024;Zwartbont;M;NL;611910149;08-05-2024;;6259491
NL;866345039;4503;15-05-2024;Zwartbont;M;NL;939036321;16-08-2024;;6259491
NL;593245062;4506;02-04-2024;Zwartbont;M;NL;598110811;24-06-2024;;6259491
DK;05120904507;04507;28-11-2023;Zwartbont;M;DK;05120903957;23-02-2024;;6259491
NL;698345119;4511;08-05-2024;Zwartbont;M;NL;653398123;09-08-2024;;6259491
NL;614245138;4513;16-05-2024;Roodbont;M;NL;644243410;16-08-2024;;6259491
NL;614245145;4514;16-05-2024;Zwartbont;M;NL;699198305;16-08-2024;;6259491
NL;645345320;4532;07-05-2024;Zwartbont;M;NL;633943509;09-08-2024;;6259491
NL;645345337;4533;06-05-2024;Zwartbont;M;NL;593742859;09-08-2024;;6259491
NL;645345407;4540;11-02-2024;Zwartbont;M;NL;633943460;08-05-2024;;6259491
NL;645345414;4541;10-02-2024;Roodbont;M;NL;593742671;08-05-2024;;6259491
NL;887945418;4541;05-05-2024;Zwartbont;M;NL;654630956;09-08-2024;;6259491
LU;818344543;4543;03-04-2024;Zwartbont;M;;;24-06-2024;;6259491
LU;418344545;4545;03-04-2024;Zwartbont;M;;;24-06-2024;;6259491
LU;518314548;4548;14-02-2024;Zwartbont;M;;;08-05-2024;;6259491
LU;918304552;4552;31-03-2024;Roodbont;M;;;24-06-2024;;6259491
NL;755545706;4570;03-04-2024;Zwartbont;M;NL;699176286;24-06-2024;;6259491
NL;630445792;4579;07-01-2024;Zwartbont;M;NL;586636730;11-04-2024;;6259491
NL;630445817;4581;08-01-2024;Zwartbont;M;NL;895034142;11-04-2024;;6259491
NL;540045844;4584;04-01-2024;Roodbont;M;NL;588540806;11-04-2024;;6259491
NL;649145870;4587;12-05-2024;Zwartbont;M;NL;569943163;09-08-2024;;6259491
NL;591645967;4596;02-05-2024;Roodbont;M;NL;619539719;16-08-2024;;6259491
NL;764846067;4606;12-05-2024;Zwartbont;M;NL;578840981;09-08-2024;;6259491
NL;591646124;4612;09-02-2024;Zwartbont;M;NL;920632608;08-05-2024;;6259491
BE;518124619;4619;14-05-2024;Zwartbont;M;BE;914745815;09-08-2024;;6259491
LU;818314619;4619;11-02-2024;Zwartbont;M;;;08-05-2024;;6259491
LU;118314620;4620;13-02-2024;Zwartbont;M;;;08-05-2024;;6259491
NL;888846390;4639;27-03-2024;Zwartbont;M;NL;708142372;24-06-2024;;6259491
BE;817954640;4640;12-02-2024;Zwart-wit;M;BE;614862580;08-05-2024;;6259491
NL;587646639;4663;26-04-2024;Zwartbont;M;NL;683139925;09-08-2024;;6259491
NL;587646653;4665;02-05-2024;Zwartbont;M;NL;684941516;16-08-2024;;6259491
NL;587646660;4666;02-05-2024;Zwartbont;M;NL;652735660;16-08-2024;;6259491
NL;587646684;4668;06-05-2024;Zwartbont;V;NL;888543509;16-08-2024;;6259491
NL;707646734;4673;26-03-2024;Zwartbont;M;NL;896044793;24-06-2024;;6259491
NL;707646758;4675;01-04-2024;Zwartbont;M;NL;726640351;24-06-2024;;6259491
NL;893146988;4698;05-01-2024;Zwartbont;M;NL;588242490;11-04-2024;;6259491
NL;929047072;4707;07-05-2024;Zwartbont;M;NL;715938315;16-08-2024;;6259491
NL;929047089;4708;01-05-2024;Zwartbont;M;NL;658243183;16-08-2024;;6259491
NL;874247200;4720;11-02-2024;Zwartbont;M;NL;578145608;08-05-2024;;6259491
NL;893447401;4740;02-04-2024;Zwartbont;M;NL;613143141;24-06-2024;;6259491
NL;893447418;4741;01-04-2024;Zwartbont;M;NL;878144013;24-06-2024;;6259491
BE;918034741;4741;26-03-2024;Zwartbont;M;BE;727092244;24-06-2024;;6259491
BE;718034742;4742;27-03-2024;Zwartbont;M;BE;124722029;24-06-2024;;6259491
BE;518034743;4743;27-03-2024;Zwartbont;M;BE;427092254;24-06-2024;;6259491
NL;562747481;4748;23-03-2024;Zwartbont;M;NL;624643087;24-06-2024;;6259491
NL;594547488;4748;03-04-2024;Zwartbont;M;NL;737582932;24-06-2024;;6259491
